user_id,age,gender,device,city_level,register_source,interests,consumption_level,register_time,read_days,total_read_time,read_chapters,collect_count,comment_count,share_count,incentive_click_rate,has_paid,first_pay_amount,first_pay_time,day_1_retention,day_3_retention,day_7_retention,incentive_strategy,incentive_value,incentive_effect,actual_day_7_retention,actual_has_paid,optimized_strategy,recommended_incentive,ltv_pred,user_segment,subsidy_strategy,budget_allocation,final_strategy
0,37,男,iOS,三线,广告投放,"军事,都市,言情",低,2026-02-04 14:18:49.330453,2,124,20,2,8,4,0.6879859729954737,0,0,,1,0,0,无,0,1.0,0,0,金币,会员,18.528571428571468,低价值用户,低价值补贴策略,2.6323100882391195,会员
1,24,男,Android,三线,自然搜索,"科幻,职场",高,2026-02-01 14:18:49.330520,5,475,35,19,6,3,0.6399625296661678,0,0,,1,0,0,无,0,1.0,0,0,金币,会员,62.85714285714289,高价值用户,高价值补贴策略,8.9299648328852,会员
2,45,女,iOS,三线,自然搜索,"都市,言情,悬疑",中,2026-01-29 14:18:49.330554,2,90,18,3,0,2,0.2845967001285894,0,0,,1,1,0,无,0,1.0,0,0,金币,金币,27.792857142857116,中价值用户,中价值补贴策略,3.948465132358667,金币
3,33,女,iOS,四线及以下,社交分享,军事,低,2026-01-31 14:18:49.330576,7,399,35,19,7,2,0.3615643368484365,0,0,,1,1,0,金币,991,0.312,0,0,金币,会员,59.56428571428572,高价值用户,高价值补贴策略,8.462156447889734,会员
4,38,女,Android,一线,应用商店,"悬疑,言情",高,2026-01-29 14:18:49.330596,4,372,32,3,4,2,0.2377736927403026,0,0,,1,1,0,内容解锁,1,0.728,0,0,金币,会员,59.71428571428577,高价值用户,高价值补贴策略,8.483466591240946,会员
5,43,女,Android,四线及以下,应用商店,"都市,悬疑",中,2026-01-29 14:18:49.330612,7,602,35,17,0,5,0.3176350968427863,0,0,,0,0,0,金币,142,0.52,0,0,金币,会员,74.44999999999999,高价值用户,高价值补贴策略,10.57693448331391,会员
6,19,男,iOS,一线,应用商店,都市,低,2026-02-02 14:18:49.330628,0,0,0,9,7,4,0.7465961359238857,0,0,,0,0,0,会员,3,0.252,0,0,金币,金币,10.0,低价值用户,低价值补贴策略,1.4206762234135542,金币
7,30,男,iOS,二线,社交分享,"言情,玄幻,悬疑",中,2026-02-01 14:18:49.330643,7,637,28,11,8,1,0.5815286719613988,0,0,,0,0,0,金币,659,0.52,0,0,金币,会员,59.942857142857136,高价值用户,高价值补贴策略,8.515939190633246,会员
8,22,女,Android,二线,社交分享,言情,中,2026-02-02 14:18:49.330658,3,309,9,1,5,3,0.7191273981087476,0,0,,1,1,0,金币,392,0.78,0,0,金币,会员,44.97857142857143,中价值用户,中价值补贴策略,6.389998699167965,会员
9,41,男,Android,三线,社交分享,"都市,军事,历史",低,2026-02-04 14:18:49.330673,4,220,36,20,0,0,0.16788484986949143,0,0,,1,0,0,内容解锁,3,0.312,0,0,金币,会员,29.77142857142862,中价值用户,中价值补贴策略,4.229556070848359,会员
